"refseq_gene_id","ensembl_gene_id","external_gene_name","entrezgene"
"","ENSMUSG00000000003","Pbsn",54192
"","ENSMUSG00000000028","Cdc45",12544
"","ENSMUSG00000000031","H19",NA
"","ENSMUSG00000000037","Scml2",107815
"","ENSMUSG00000000049","Apoh",11818
"","ENSMUSG00000000056","Narf",67608
"","ENSMUSG00000000058","Cav2",12390
"","ENSMUSG00000000078","Klf6",23849
"","ENSMUSG00000000085","Scmh1",29871
"","ENSMUSG00000000088","Cox5a",12858
"","ENSMUSG00000000094","Tbx4",21387
"","ENSMUSG00000000103","Zfy2",22768
"","ENSMUSG00000000126","Wnt9a",216795
"","ENSMUSG00000000131","Xpo6",74204
"","ENSMUSG00000000134","Tfe3",209446
"","ENSMUSG00000000142","Axin2",12006
"","ENSMUSG00000000148","Brat1",231841
"","ENSMUSG00000000149","Gna12",14673
"","ENSMUSG00000000154","Slc22a18",18400
"","ENSMUSG00000000157","Itgb2l",16415
"","ENSMUSG00000000159","Igsf5",72058
"","ENSMUSG00000000167","Pih1d2",72614
"","ENSMUSG00000000168","Dlat",235339
"","ENSMUSG00000000184","Ccnd2",12444
"","ENSMUSG00000000194","Gpr107",277463
"","ENSMUSG00000000197","Nalcn",338370
"","ENSMUSG00000000202","Btbd17",72014
"","ENSMUSG00000000204","Slfn4",20558
"","ENSMUSG00000000214","Th",21823
"","ENSMUSG00000000215","Ins2",16334
"","ENSMUSG00000000223","Drp2",13497
"","ENSMUSG00000000244","Tspan32",27027
"","ENSMUSG00000000247","Lhx2",16870
"","ENSMUSG00000000248","Clec2g",70809
"","ENSMUSG00000000253","Gmpr",66355
"","ENSMUSG00000000263","Glra1",14654
"","ENSMUSG00000000266","Mid2",23947
"","ENSMUSG00000000275","Trim25",217069
"","ENSMUSG00000000276","Dgke",56077
"","ENSMUSG00000000282","Mnt",17428
"","ENSMUSG00000000290","Itgb2",16414
"","ENSMUSG00000000295","Hddc2",69692
"","ENSMUSG00000000296","Tpd52l1",21987
"","ENSMUSG00000000301","Pemt",18618
"","ENSMUSG00000000303","Cdh1",12550
"","ENSMUSG00000000305","Cdh4",12561
"","ENSMUSG00000000308","Ckmt1",12716
"","ENSMUSG00000000317","Bcl6b",12029
"","ENSMUSG00000000318","Clec10a",17312
"","ENSMUSG00000000320","Alox12",11684
"","ENSMUSG00000000325","Arvcf",11877
"","ENSMUSG00000000326","Comt",12846
"","ENSMUSG00000000339","Rtca",66368
"","ENSMUSG00000000340","Dbt",13171
"","ENSMUSG00000000355","Mcts1",68995
"","ENSMUSG00000000359","Rem1",19700
"","ENSMUSG00000000365","Rnf17",30054
"","ENSMUSG00000000374","Trappc10",216131
"","ENSMUSG00000000378","Ccm2",216527
"","ENSMUSG00000000381","Wap",22373
"","ENSMUSG00000000384","Tbrg4",21379
"","ENSMUSG00000000386","Mx1",NA
"","ENSMUSG00000000392","Fap",14089
"","ENSMUSG00000000394","Gcg",14526
"","ENSMUSG00000000399","Ndufa9",66108
"","ENSMUSG00000000409","Lck",16818
"","ENSMUSG00000000416","Cttnbp2",30785
"","ENSMUSG00000000420","Galnt1",14423
"","ENSMUSG00000000439","Mkrn2",67027
"","ENSMUSG00000000440","Pparg",19016
